get_in_M,Avr gets
2229,18.2031
2234,18.1008
2239,18.1395
2244,18.1783
2249,18.2171
2254,18.2558
2259,18.2946
2264,18.3333
2269,18.3721
2274,18.4109
2279,18.4496
2284,18.4884
2289,18.5271
2294,18.5659
2299,18.6047
2304,18.6434
2309,18.6822
2314,18.7209
2319,18.7597
2324,18.7984
2329,18.8372
2334,18.5878
2339,18.626
2344,18.5227
2349,18.5606
2354,18.5985
2359,18.6364
2364,18.5338
2369,18.5714
2374,18.609
2379,18.6466
2384,18.6842
2389,18.7218
2394,18.7594
2399,18.797
2404,18.8346
2409,18.7313
2414,18.7687
2419,18.806
2424,18.8433
2429,18.8806
2434,18.9179
2439,18.8148
2444,18.5766
2449,18.6131
2454,18.6496
2459,18.6861
2464,18.7226
2469,18.7591
2474,18.7956
2479,18.8321
2484,18.7319
2489,18.7681
2494,18.8043
2499,18.705
2504,18.6071
2509,18.6429
2514,18.5461
2519,18.4507
2524,18.4859
2529,18.3916
2534,18.4266
2539,18.4615
2544,18.4965
2549,18.5315
2554,18.5664
2559,18.4722
2564,18.5069
2569,18.4138
2574,18.4483
2579,18.4828
2584,18.5172
2589,18.5517
2594,18.5862
2599,18.6207
2604,18.6552
2609,18.5616
2614,18.5959
2619,18.6301
2624,18.6644
2629,18.6986
2634,18.6054
2639,18.6395
2644,18.5473
2649,18.4564
2654,18.4899
2659,18.5235
2664,18.557
2669,18.4667
2674,18.3775
2679,18.4106
2684,18.3224
2689,18.3553
2694,18.3882
2699,18.3007
2704,18.3333
2709,18.366
2714,18.2792
2719,18.3117
2724,18.3442
2729,18.3766
2734,18.4091
2739,18.4416
2744,18.3548
2749,18.3871
2754,18.3013
2759,18.2166
2764,18.2484
2769,18.2803
2774,18.3121
2779,18.2278
2784,18.1447
2789,18.0625
2794,17.9814
2799,18.0124
2804,18.0435
2809,17.8528
2814,17.8834
2819,17.8049
2824,17.8354
2829,17.8659
2834,17.8963
2839,17.9268
2844,17.9573
2849,17.9878
2854,18.0183
2859,18.0488
2864,17.9697
2869,18
2874,18.0303
2879,18.0606
2884,18.0909
2889,18.1212
2894,18.1515
2899,18.1818
2904,18.1024
2909,18.1325
2914,18.1627
2919,17.9762
2924,18.006
2929,18.0357
2934,18.0655
2939,18.0952
2944,18.125
2949,18.1548
2954,18.0769
2959,18.1065
2964,18.1361
2969,18.0588
2974,17.9825
2979,18.0117
2984,18.0409
2989,18.0702
2994,18.0994
2999,18.1287
3004,18.1579
3009,18.0814
3014,18.1105
3019,18.1395
3024,18.1686
3029,18.1977
3034,18.1214
3039,18.046
3044,18.0747
3049,18.1034
3054,18.1322
3059,18.1609
3064,18.1897
3069,18.2184
3074,18.2471
3079,18.2759
3084,18.0966
3089,18.125
3094,18.1534
3099,18.1818
3104,18.2102
3109,18.2386
3114,18.267
3119,18.2955
3124,18.3239
3129,18.3523
3134,18.3807
3139,18.4091
3144,18.4375
3149,18.4659
3154,18.3898
3159,18.4181
3164,18.4463
3169,18.4746
3174,18.5028
3179,18.427
3184,18.4551
3189,18.4831
3194,18.4078
3199,18.4358
3204,18.2597
3209,18.2873
3214,18.2143
3219,18.0435
3224,18.0707
3229,18.0978
3234,18.125
3239,18.1522
3244,18.0811
3249,18.1081
3254,18.1351
3259,18.1622
3264,18.1892
3269,18.2162
3274,18.2432
3279,18.2703
3284,18.2973
3289,18.3243
3294,18.3514
3299,18.3784
3304,18.4054
3309,18.4324
3314,18.3602
3319,18.3871
3324,18.414
3329,18.4409
3334,18.4677
3339,18.4946
3344,18.5215
3349,18.5484
3354,18.5753
3359,18.5027
3364,18.4309
3369,18.4574
3374,18.484
3379,18.4127
3384,18.3421
3389,18.3684
3394,18.3947
3399,18.4211
3404,18.3508
3409,18.377
3414,18.4031
3419,18.4293
3424,18.3594
3429,18.3854
3434,18.4115
3439,18.4375
3444,18.4635
3449,18.299
3454,18.3247
3459,18.2564
3464,18.2821
3469,18.3077
3474,18.3333
3479,18.359
3484,18.3846
3489,18.4103
3494,18.3418
3499,18.3673
3504,18.3929
3509,18.2323
3514,18.2576
3519,18.2828
3524,18.3081
3529,18.3333
3534,18.175
3539,18.2
3544,18.1343
3549,18.1592
3554,18.1841
3559,18.209
3564,18.2338
3569,18.1683
3574,18.1931
3579,18.2178
3584,18.2426
3589,18.1773
3594,18.202
3599,18.1373
3604,18.1618
3609,18.1863
3614,18.2108
3619,18.2353
3624,18.2598
3629,18.1951
3634,18.1311
3639,18.1553
3644,18.1796
3649,18.2039
3654,18.0529
3659,18.0769
3664,18.101
3669,18.125
3674,18.149
3679,18.0861
3684,18.11
3689,18.0476
3694,18.0714
3699,18.0952
3704,18.119
3709,18.1429
3714,18.0806
3719,18.1043
3724,18.128
3729,18.1517
3734,18.0896
3739,18.1132
3744,18.1368
3749,18.1604
3754,18.0986
3759,18.0374
3764,18.0607
3769,18
3774,18.0233
3779,18.0465
3784,18.0698
3789,18.0093
3794,18.0324
3799,18.0556
3804,18.0787
3809,18.1019
3814,18.125
3819,18.1481
3824,18.1713
3829,18.1106
3834,18.1336
3839,18.1567
3844,18.0963
3849,18.1193
3854,18.1422
3859,18.1651
3864,18.1881
3869,18.211
3874,18.2339
3879,18.2569
3884,18.2798
3889,18.3028
3894,18.242
3899,18.2648
3904,18.2877
3909,18.3105
3914,18.3333
3919,18.3562
3924,18.379
3929,18.4018
3934,18.3409
3939,18.3636
3944,18.3864
3949,18.3258
3954,18.3484
3959,18.2883
3964,18.3108
3969,18.2511
3974,18.2735
3979,18.296
3984,18.3184
3989,18.2589
3994,18.2813
3999,18.3036
4004,18.3259
4009,18.3482
4014,18.3705
4019,18.3929
