2000000 , 6
3000000 , 12
4000000 , 20
5000000 , 28
6000000 , 36
7000000 , 46
8000000 , 53
9000000 , 61
10000000 , 64
11000000 , 75
12000000 , 80
13000000 , 85
14000000 , 92
15000000 , 98
16000000 , 104
17000000 , 109
18000000 , 116
19000000 , 124
20000000 , 130
21000000 , 137
22000000 , 142
23000000 , 149
24000000 , 155
25000000 , 166
26000000 , 173
27000000 , 182
28000000 , 192
29000000 , 199
30000000 , 206
31000000 , 213
32000000 , 219
33000000 , 230
34000000 , 237
35000000 , 245
36000000 , 255
37000000 , 264
38000000 , 274
39000000 , 279
40000000 , 287
41000000 , 292
42000000 , 297
43000000 , 302
44000000 , 306
45000000 , 316
46000000 , 319
47000000 , 326
48000000 , 334
49000000 , 340
50000000 , 349
51000000 , 358
52000000 , 367
53000000 , 375
54000000 , 380
55000000 , 386
56000000 , 394
57000000 , 399
58000000 , 406
59000000 , 413
60000000 , 422
61000000 , 430
62000000 , 440
63000000 , 447
64000000 , 457
65000000 , 464
66000000 , 470
67000000 , 476
68000000 , 484
69000000 , 491
70000000 , 498
71000000 , 505
72000000 , 511
73000000 , 518
74000000 , 525
75000000 , 531
76000000 , 538
77000000 , 545
78000000 , 549
79000000 , 558
80000000 , 565
81000000 , 572
82000000 , 576
83000000 , 584
84000000 , 588
85000000 , 596
86000000 , 603
87000000 , 608
88000000 , 615
89000000 , 619
90000000 , 625
91000000 , 630
92000000 , 639
93000000 , 643
94000000 , 649
95000000 , 656
96000000 , 665
97000000 , 669
98000000 , 677
99000000 , 683
100000000 , 693
101000000 , 702
102000000 , 710
103000000 , 715
104000000 , 723
105000000 , 729
106000000 , 739
107000000 , 748
108000000 , 757
109000000 , 766
110000000 , 774
111000000 , 780
112000000 , 788
113000000 , 793
114000000 , 801
115000000 , 806
116000000 , 812
117000000 , 821
118000000 , 831
119000000 , 838
120000000 , 845
121000000 , 850
122000000 , 857
123000000 , 865
124000000 , 870
125000000 , 877
126000000 , 885
127000000 , 890
128000000 , 894
129000000 , 904
130000000 , 909
131000000 , 918
132000000 , 925
133000000 , 932
134000000 , 939
135000000 , 947
136000000 , 953
137000000 , 959
138000000 , 964
139000000 , 972
140000000 , 982
141000000 , 990
142000000 , 998
143000000 , 1007
144000000 , 1011
145000000 , 1021
146000000 , 1025
147000000 , 1034
148000000 , 1040
149000000 , 1047
150000000 , 1056
151000000 , 1064
152000000 , 1071
153000000 , 1079
154000000 , 1086
155000000 , 1093
156000000 , 1099
157000000 , 1109
158000000 , 1116
159000000 , 1122
160000000 , 1128
161000000 , 1134
162000000 , 1143
163000000 , 1153
